frame_num,object_id,class_id,confidence,top,left,width,height,timestamp
6432,316,0,0.61328125,868.5978393554688,1483.8739013671875,308.7454833984375,209.6129608154297,20250225-162142
6432,332,0,0.64501953125,690.8936157226562,1664.5997314453125,255.4002685546875,382.56695556640625,20250225-162142
6432,331,0,0.759765625,718.0889892578125,1.6300735473632812,209.11111450195312,353.2701110839844,20250225-162142
6432,322,0,0.8369140625,453.90679931640625,692.3184814453125,699.5941772460938,615.8510131835938,20250225-162142
6432,330,0,0.84228515625,795.7788696289062,189.89491271972656,297.5960998535156,276.92901611328125,20250225-162142
6433,332,0,0.5458984375,664.5015869140625,1627.0623779296875,292.9376220703125,408.1190490722656,20250225-162142
6433,316,0,0.61767578125,829.6446533203125,1466.03076171875,318.6188049316406,246.80374145507812,20250225-162142
6433,330,0,0.818359375,749.6958618164062,161.8268280029297,351.487548828125,328.1549377441406,20250225-162142
6433,331,0,0.8291015625,684.6111450195312,1.4300308227539062,178.40261840820312,387.7274169921875,20250225-162142
6433,322,0,0.84423828125,416.1269226074219,666.7606811523438,682.7892456054688,653.7201538085938,20250225-162142
6434,305,0,0.30908203125,834.661376953125,1349.958984375,129.18740844726562,239.6006622314453,20250225-162142
6434,332,0,0.351318359375,632.58349609375,1582.351318359375,306.67877197265625,419.3723449707031,20250225-162142
6434,316,0,0.5078125,797.2237548828125,1435.8673095703125,293.662353515625,279.0331726074219,20250225-162142
6434,331,0,0.736328125,653.5848999023438,1.0473861694335938,154.93984985351562,417.0808410644531,20250225-162142
6434,330,0,0.79443359375,722.8001708984375,133.7240753173828,348.20068359375,353.03167724609375,20250225-162142
6434,322,0,0.8896484375,386.6302490234375,659.8478393554688,661.92626953125,683.7767944335938,20250225-162142
6435,316,0,0.4892578125,786.3804321289062,1357.3370361328125,388.489013671875,291.4151916503906,20250225-162142
6435,331,0,0.62451171875,654.1429443359375,0.6673851013183594,122.59541320800781,415.3532409667969,20250225-162142
6435,332,0,0.65673828125,624.6688842773438,1538.26611328125,283.25518798828125,397.9840393066406,20250225-162142
6435,333,0,0.69189453125,757.0855712890625,449.23040771484375,271.6365051269531,290.1450500488281,20250225-162142
6435,330,0,0.865234375,705.5953369140625,96.47621154785156,340.5275573730469,368.9010314941406,20250225-162142
6435,322,0,0.890625,371.70458984375,645.8541870117188,643.38427734375,698.2858276367188,20250225-162142
6436,316,0,0.4833984375,784.7620239257812,1352.815185546875,371.886474609375,292.214111328125,20250225-162142
6436,331,0,0.51171875,677.2109985351562,0.4806175231933594,86.87322998046875,394.7147216796875,20250225-162142
6436,332,0,0.5400390625,623.2593994140625,1507.2916259765625,264.500244140625,345.8866882324219,20250225-162142
6436,333,0,0.69775390625,753.2976684570312,428.2184143066406,287.4056396484375,310.9027099609375,20250225-162142
6436,330,0,0.849609375,697.93359375,63.88563537597656,340.6768798828125,355.27227783203125,20250225-162142
